Наименование;Артикул;Цена;Наличие
Нож обвалочный узкий Connoisseur 152 мм. Dexter-Russell 50-6N-PCP; 01272;5 018.12 ;Информация не найдена
Нож хлебный серии Connoisseur 228 мм. Dexter-Russell 50-9SC-PCP; 13582;5 765 ;Информация не найдена
Сменный картридж BRITA PURITY C150; 102828;14 420.76 ;Информация не найдена
Фильтр BRITA PURITY C50 QUELL ST (БАЙПАСС 30%); 1002730 + 1002952;9 613.84 ;Информация не найдена
Фритюрница FriFri 1948; 1948;27 927 ;Информация не найдена
Стакан Blendtec JAR KIT FS 1,8 л.; 40-609-60;21 295.44 ;Информация не найдена
Вафельница «Льежские вафли» Frifri WA102; WA102;12 729.43 ;Информация не найдена
Вафельница «Брюссельские вафли» Frifri WA102A; WA102A;12 729.43 ;Информация не найдена
Вафельница «вафельный лист» Frifri WA102K (Без оригинальной упаковки); WA102K;22 432.29 ;Информация не найдена
"Сэндвичница ""Крок-месье"" Frifri Toasty WA102C"; WA102C;12 729.43 ;Информация не найдена
Фильтр BRITA PURITY C150 QUELL ST (БАЙПАСС 30%); 102828 + 1002952;6 498.24 ;Информация не найдена
Сменный картридж BRITA PURITY C300; 102826;13 530.59 ;Информация не найдена
Вафельница «Брюссельские вафли» Frifri Twins WA103; WA103;17 002.25 ;Информация не найдена
Вафельница «Льежские вафли» Frifri Twins WA103 (форма M003); WA103 Twins (M003);17 002.25 ;Информация не найдена
Фильтр BRITA PURITY C300 QUELL ST (БАЙПАСС 30%); 102826 + 1002952;9 613.84 ;Информация не найдена
Профессиональный погружной блендер Sammic TR-200; 3030550;12 729.43 ;Информация не найдена
Кольчужная перчатка Crewware MGA515XS; MGA515XS ;21 324.81 ;Информация не найдена
Профессиональный погружной блендер Sammic TR-250; 3030130;12 729.43 ;Информация не найдена
Сменный картридж BRITA PURITY C500; 1002045;13 530.59 ;Информация не найдена
Фильтр BRITA PURITY C500 QUELL ST (БАЙПАСС 30%); 1002045 + 1002952;6 498.24 ;Информация не найдена
Соковыжималка Santos EVOLUTION #70; #70;48 751.66 ;Информация не найдена
Вакуумный упаковщик Sammic SV-310T; 1140420 ;104 726 ;Информация не найдена
